year,region,country,regulatoryAuthorityScore,regulatoryMandateScore,regulatoryRegimeScore,competitionFrameworkScore,overallScore,generation,Separate telecom/ICT regulator_value,Autonomy in decision making_value,Accountability_value,Enforcement power_value,Sanctions or penalties imposed by regulator_value,Traditional mandate: entity in charge of quality of service obligations measures and service quality monitoring_value,Entity in charge of universal service/access_value,"Consumer issues: entity responsible for comparative tariff information, consumer education and handling consumer complaints_value",Operators required to publish Reference Interconnection Offer (RIO)_value,Quality of service monitoring required_value,Infrastructure sharing for mobile operators permitted_value,Infrastructure sharing mandated_value,Co-location/site sharing mandated_value,Unbundled access to the local loop required_value,National plan that involves broadband_value,"Level of competition in IMT (3G, 4G, etc.) services_value","Level of competition in cable modem, DSL, fixed wireless broadband_value",Separate telecom/ICT regulator_desc,Autonomy in decision making_desc,Accountability_desc,Enforcement power_desc,Sanctions or penalties imposed by regulator_desc,Traditional mandate: entity in charge of quality of service obligations measures and service quality monitoring_desc,Entity in charge of universal service/access_desc,"Consumer issues: entity responsible for comparative tariff information, consumer education and handling consumer complaints_desc",Operators required to publish Reference Interconnection Offer (RIO)_desc,Quality of service monitoring required_desc,Infrastructure sharing for mobile operators permitted_desc,Infrastructure sharing mandated_desc,Co-location/site sharing mandated_desc,Unbundled access to the local loop required_desc,National plan that involves broadband_desc,"Level of competition in IMT (3G, 4G, etc.) services_desc","Level of competition in cable modem, DSL, fixed wireless broadband_desc"
2022,Africa,Benin,18.0,18.0,20.0,14.0,70.0,G3,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,Yes,"Yes, for all decisions","Two different entities approve regulator's budget, appoint the Members/Head, and require reporting",Yes,Strong sanction,Regulatory Authority/Authorities,Government & Regulatory Authority,Regulatory Authority/Authorities,,Yes,Yes,Yes,Yes,No,Yes,Full competition,Full competition
2022,Africa,Botswana,20.0,20.0,18.0,20.0,78.0,G3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,Yes,"Yes, for all decisions","Three different entities approve regulator's budget, appoint the Members/Head, and require reporting",Yes,Strong sanction,Regulatory Authority/Authorities,Regulatory Authority/Authorities,Regulatory Authority/Authorities,,Yes,Yes,Yes,Yes,No,Yes,Partial competition,Full competition
2022,Africa,Burundi,12.0,16.0,12.0,20.6666666667,60.6666666667,G2,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.6666666667,Yes,"Yes, for some decisions","Two different entities approve regulator's budget, appoint the Members/Head, and require reporting",Yes,Strong sanction,Regulatory Authority/Authorities,Regulatory Authority/Authorities,Regulatory Authority/Authorities,,Yes,Yes,No,No,No,Yes,Full competition,Full competition
2022,Africa,Côte d'Ivoire,19.0,19.0,17.0,18.0,73.0,G3,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,Yes,"Yes, for all decisions","Two different entities approve regulator's budget, appoint the Members/Head, and require reporting",Yes,Strong sanction,Regulatory Authority/Authorities,Regulatory Authority/Authorities,Regulatory Authority/Authorities,,Yes,Yes,Yes,Yes,No,Yes,Full competition,Partial competition
2022,Africa,Ethiopia,11.0,15.0,8.0,15.0,49.0,G2,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,Yes,No,"Same entity approves regulator's budget, appoints the Members/Head, and requires reporting",Yes,Strong sanction,Government & Regulatory Authority,Government & Regulatory Authority,Regulatory Authority/Authorities,,Yes,No,No,No,No,Yes,Partial competition,Partial competition
2022,Africa,Kenya,18.0,22.0,25.0,27.0,92.0,G4,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,Yes,"Yes, for some decisions","Three different entities approve regulator's budget, appoint the Members/Head, and require reporting",Yes,Strong sanction,Regulatory Authority/Authorities,Regulatory Authority/Authorities,Regulatory Authority/Authorities,,Yes,Yes,Yes,No,Yes,Yes,Full competition,Full competition
2022,Africa,Malawi,17.0,20.5,22.0,27.0,86.5,G4,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.5,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Yes,"Yes, for some decisions","Two different entities approve regulator's budget, appoint the Members/Head, and require reporting",Yes,Strong sanction,Regulatory Authority/Authorities,Regulatory Authority/Authorities,Regulatory Authority/Authorities,,Yes,Yes,Yes,Yes,Yes,Yes,Full competition,Full competition
2022,Africa,Nigeria,19.0,22.0,26.0,25.0,92.0,G4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,Yes,"Yes, for all decisions","Three different entities approve regulator's budget, appoint the Members/Head, and require reporting",Yes,Strong sanction,Regulatory Authority/Authorities,Regulatory Authority/Authorities,Regulatory Authority/Authorities,,Yes,Yes,No,Yes,Yes,Yes,Full competition,Full competition
2022,Africa,Uganda,16.0,20.0,24.0,25.0,85.0,G4,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Yes,"Yes, for all decisions","Two different entities approve regulator's budget, appoint the Members/Head, and require reporting",Yes,Strong sanction,Regulatory Authority/Authorities,Regulatory Authority/Authorities,Regulatory Authority/Authorities,,Yes,Yes,Yes,Yes,Yes,Yes,Full competition,Full competition
2022,Africa,Zambia,16.0,20.0,20.0,20.3333333333,76.3333333333,G3,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.3333333333,Yes,"Yes, for all decisions","Two different entities approve regulator's budget, appoint the Members/Head, and require reporting",Yes,Strong sanction,Regulatory Authority/Authorities,Regulatory Authority/Authorities,Regulatory Authority/Authorities,,Yes,Yes,Yes,Yes,No,Yes,Partial competition,Partial competition
